% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	correct	ccId
800	1	0	4	0	28	9422	0	1	1	0
801	1	0	1	0	24	6882	0	1	1	0
802	1	0	5	0	24	6882	0	1	1	0
803	1	0	6	0	26	7708	0	1	1	0
804	1	0	7	0	24	6882	0	1	1	0
805	1	0	8	0	28	9422	0	1	1	0
806	1	0	9	0	28	9422	0	1	1	0
807	1	0	10	0	24	6882	0	1	1	0
808	1	0	11	0	26	7708	0	1	1	0
809	1	0	12	0	28	9422	0	1	1	0
810	1	0	13	0	28	9422	0	1	1	0
811	1	0	14	0	24	6882	0	1	1	0
826	1	0	2	0	28	9422	0	1	1	0
827	1	0	3	0	28	9422	0	1	1	0
828	1	0	4	0	28	9422	0	1	1	0
829	1	0	1	0	24	6882	0	1	1	0
830	1	0	5	0	24	6882	0	1	1	0
831	1	0	6	0	26	7708	0	1	1	0
832	1	0	7	0	24	6882	0	1	1	0
833	1	0	8	0	28	9422	0	1	1	0
834	1	0	9	0	28	9422	0	1	1	0
835	1	0	10	0	24	6882	0	1	1	0
836	1	0	11	0	26	7708	0	1	1	0
837	1	0	12	0	28	9422	0	1	1	0
838	1	0	13	0	28	9422	0	1	1	0
839	1	0	14	0	24	6882	0	1	1	0
854	1	0	2	0	28	9422	0	1	1	0
855	1	0	3	0	28	9422	0	1	1	0
856	1	0	4	0	28	9422	0	1	1	0
857	1	0	1	0	24	6882	0	1	1	0
858	1	0	5	0	24	6882	0	1	1	0
859	1	0	6	0	26	7708	0	1	1	0
860	1	0	7	0	24	6882	0	1	1	0
861	1	0	8	0	28	9422	0	1	1	0
862	1	0	9	0	28	9422	0	1	1	0
863	1	0	10	0	24	6882	0	1	1	0
864	1	0	11	0	26	7708	0	1	1	0
865	1	0	12	0	28	9422	0	1	1	0
866	1	0	13	0	28	9422	0	1	1	0
867	1	0	14	0	24	6882	0	1	1	0
882	1	0	2	0	28	9422	0	1	1	0
883	1	0	3	0	28	9422	0	1	1	0
884	1	0	4	0	28	9422	0	1	1	0
885	1	0	1	0	24	6882	0	1	1	0
886	1	0	5	0	24	6882	0	1	1	0
887	1	0	6	0	26	7708	0	1	1	0
888	1	0	7	0	24	6882	0	1	1	0
889	1	0	8	0	28	9422	0	1	1	0
890	1	0	9	0	28	9422	0	1	1	0
891	1	0	10	0	24	6882	0	1	1	0
892	1	0	11	0	26	7708	0	1	1	0
893	1	0	12	0	28	9422	0	1	1	0
894	1	0	13	0	28	9422	0	1	1	0
895	1	0	14	0	24	6882	0	1	1	0
910	1	0	2	0	28	9422	0	1	1	0
911	1	0	3	0	28	9422	0	1	1	0
912	1	0	4	0	28	9422	0	1	1	0
913	1	0	1	0	24	6882	0	1	1	0
914	1	0	5	0	24	6882	0	1	1	0
915	1	0	6	0	26	7708	0	1	1	0
916	1	0	7	0	24	6882	0	1	1	0
917	1	0	8	0	28	9422	0	1	1	0
918	1	0	9	0	28	9422	0	1	1	0
919	1	0	10	0	24	6882	0	1	1	0
920	1	0	11	0	26	7708	0	1	1	0
921	1	0	12	0	28	9422	0	1	1	0
922	1	0	13	0	28	9422	0	1	1	0
923	1	0	14	0	24	6882	0	1	1	0
938	1	0	2	0	28	9422	0	1	1	0
939	1	0	3	0	28	9422	0	1	1	0
940	1	0	4	0	28	9422	0	1	1	0
941	1	0	1	0	24	6882	0	1	1	0
942	1	0	5	0	24	6882	0	1	1	0
943	1	0	6	0	26	7708	0	1	1	0
944	1	0	7	0	24	6882	0	1	1	0
945	1	0	8	0	28	9422	0	1	1	0
946	1	0	9	0	28	9422	0	1	1	0
947	1	0	10	0	24	6882	0	1	1	0
948	1	0	11	0	26	7708	0	1	1	0
949	1	0	12	0	28	9422	0	1	1	0
950	1	0	13	0	28	9422	0	1	1	0
951	1	0	14	0	24	6882	0	1	1	0
966	1	0	2	0	28	9422	0	1	1	0
967	1	0	3	0	28	9422	0	1	1	0
968	1	0	4	0	28	9422	0	1	1	0
969	1	0	1	0	24	6882	0	1	1	0
970	1	0	5	0	24	6882	0	1	1	0
971	1	0	6	0	26	7708	0	1	1	0
972	1	0	7	0	24	6882	0	1	1	0
973	1	0	8	0	28	9422	0	1	1	0
974	1	0	9	0	28	9422	0	1	1	0
975	1	0	10	0	24	6882	0	1	1	0
976	1	0	11	0	26	7708	0	1	1	0
977	1	0	12	0	28	9422	0	1	1	0
978	1	0	13	0	28	9422	0	1	1	0
979	1	0	14	0	24	6882	0	1	1	0
994	1	0	2	0	28	9422	0	1	1	0
995	1	0	3	0	28	9422	0	1	1	0
996	1	0	4	0	28	9422	0	1	1	0
997	1	0	1	0	24	6882	0	1	1	0
998	1	0	5	0	24	6882	0	1	1	0
999	1	0	6	0	26	7708	0	1	1	0
1000	1	0	7	0	24	6882	0	1	1	0
1001	1	0	8	0	28	9422	0	1	1	0
1002	1	0	9	0	28	9422	0	1	1	0
1003	1	0	10	0	24	6882	0	1	1	0
1004	1	0	11	0	26	7708	0	1	1	0
1005	1	0	12	0	28	9422	0	1	1	0
1006	1	0	13	0	28	9422	0	1	1	0
1007	1	0	14	0	24	6882	0	1	1	0
1022	1	0	2	0	28	9422	0	1	1	0
1023	1	0	3	0	28	9422	0	1	1	0
1024	1	0	4	0	28	9422	0	1	1	0
1025	1	0	1	0	24	6882	0	1	1	0
1026	1	0	5	0	24	6882	0	1	1	0
1027	1	0	6	0	26	7708	0	1	1	0
1028	1	0	7	0	24	6882	0	1	1	0
1029	1	0	8	0	28	9422	0	1	1	0
1030	1	0	9	0	28	9422	0	1	1	0
1031	1	0	10	0	24	6882	0	1	1	0
1032	1	0	11	0	26	7708	0	1	1	0
1033	1	0	12	0	28	9422	0	1	1	0
1034	1	0	13	0	28	9422	0	1	1	0
1035	1	0	14	0	24	6882	0	1	1	0
1050	1	0	2	0	28	9422	0	1	1	0
1051	1	0	3	0	28	9422	0	1	1	0
1052	1	0	4	0	28	9422	0	1	1	0
1053	1	0	1	0	24	6882	0	1	1	0
1054	1	0	5	0	24	6882	0	1	1	0
1055	1	0	6	0	26	7708	0	1	1	0
1056	1	0	7	0	24	6882	0	1	1	0
1057	1	0	8	0	28	9422	0	1	1	0
1058	1	0	9	0	28	9422	0	1	1	0
1059	1	0	10	0	24	6882	0	1	1	0
1060	1	0	11	0	26	7708	0	1	1	0
1061	1	0	12	0	28	9422	0	1	1	0
1062	1	0	13	0	28	9422	0	1	1	0
1063	1	0	14	0	24	6882	0	1	1	0
1078	1	0	2	0	28	9422	0	1	1	0
1079	1	0	3	0	28	9422	0	1	1	0
1080	1	0	4	0	28	9422	0	1	1	0
1081	1	0	1	0	24	6882	0	1	1	0
1082	1	0	5	0	24	6882	0	1	1	0
1083	1	0	6	0	26	7708	0	1	1	0
1084	1	0	7	0	24	6882	0	1	1	0
1085	1	0	8	0	28	9422	0	1	1	0
1086	1	0	9	0	28	9422	0	1	1	0
1087	1	0	10	0	24	6882	0	1	1	0
1088	1	0	11	0	26	7708	0	1	1	0
1089	1	0	12	0	28	9422	0	1	1	0
1090	1	0	13	0	28	9422	0	1	1	0
1091	1	0	14	0	24	6882	0	1	1	0
1106	1	0	2	0	28	9422	0	1	1	0
1107	1	0	3	0	28	9422	0	1	1	0
1108	1	0	4	0	28	9422	0	1	1	0
1109	1	0	1	0	24	6882	0	1	1	0
1110	1	0	5	0	24	6882	0	1	1	0
1111	1	0	6	0	26	7708	0	1	1	0
1112	1	0	7	0	24	6882	0	1	1	0
1113	1	0	8	0	28	9422	0	1	1	0
1114	1	0	9	0	28	9422	0	1	1	0
1115	1	0	10	0	24	6882	0	1	1	0
1116	1	0	11	0	26	7708	0	1	1	0
1117	1	0	12	0	28	9422	0	1	1	0
1118	1	0	13	0	28	9422	0	1	1	0
1119	1	0	14	0	24	6882	0	1	1	0
1134	1	0	2	0	28	9422	0	1	1	0
1135	1	0	3	0	28	9422	0	1	1	0
1136	1	0	4	0	28	9422	0	1	1	0
1137	1	0	1	0	24	6882	0	1	1	0
1138	1	0	5	0	24	6882	0	1	1	0
1139	1	0	6	0	26	7708	0	1	1	0
1140	1	0	7	0	24	6882	0	1	1	0
1141	1	0	8	0	28	9422	0	1	1	0
1142	1	0	9	0	28	9422	0	1	1	0
1143	1	0	10	0	24	6882	0	1	1	0
1144	1	0	11	0	26	7708	0	1	1	0
1145	1	0	12	0	28	9422	0	1	1	0
1146	1	0	13	0	28	9422	0	1	1	0
1147	1	0	14	0	24	6882	0	1	1	0
1162	1	0	2	0	28	9422	0	1	1	0
1163	1	0	3	0	28	9422	0	1	1	0
1164	1	0	4	0	28	9422	0	1	1	0
1165	1	0	1	0	24	6882	0	1	1	0
1166	1	0	5	0	24	6882	0	1	1	0
1167	1	0	6	0	26	7708	0	1	1	0
1168	1	0	7	0	24	6882	0	1	1	0
1169	1	0	8	0	28	9422	0	1	1	0
1170	1	0	9	0	28	9422	0	1	1	0
1171	1	0	10	0	24	6882	0	1	1	0
1172	1	0	11	0	26	7708	0	1	1	0
1173	1	0	12	0	28	9422	0	1	1	0
1174	1	0	13	0	28	9422	0	1	1	0
1175	1	0	14	0	24	6882	0	1	1	0
1190	1	0	2	0	28	9422	0	1	1	0
1191	1	0	3	0	28	9422	0	1	1	0
1192	1	0	4	0	28	9422	0	1	1	0
1193	1	0	1	0	24	6882	0	1	1	0
1194	1	0	5	0	24	6882	0	1	1	0
1195	1	0	6	0	26	7708	0	1	1	0
1196	1	0	7	0	24	6882	0	1	1	0
1197	1	0	8	0	28	9422	0	1	1	0
1198	1	0	9	0	28	9422	0	1	1	0
1199	1	0	10	0	24	6882	0	1	1	0
1200	1	0	11	0	26	7708	0	1	1	0
1201	1	0	12	0	28	9422	0	1	1	0
1202	1	0	13	0	28	9422	0	1	1	0
1203	1	0	14	0	24	6882	0	1	1	0
1218	1	0	2	0	28	9422	0	1	1	0
1219	1	0	3	0	28	9422	0	1	1	0
1220	1	0	4	0	28	9422	0	1	1	0
1221	1	0	1	0	24	6882	0	1	1	0
1222	1	0	5	0	24	6882	0	1	1	0
1223	1	0	6	0	26	7708	0	1	1	0
1224	1	0	7	0	24	6882	0	1	1	0
1225	1	0	8	0	28	9422	0	1	1	0
1226	1	0	9	0	28	9422	0	1	1	0
1227	1	0	10	0	24	6882	0	1	1	0
1228	1	0	11	0	26	7708	0	1	1	0
1229	1	0	12	0	28	9422	0	1	1	0
1230	1	0	13	0	28	9422	0	1	1	0
1231	1	0	14	0	24	6882	0	1	1	0
1246	1	0	2	0	28	9422	0	1	1	0
1247	1	0	3	0	28	9422	0	1	1	0
1248	1	0	4	0	28	9422	0	1	1	0
1249	1	0	1	0	24	6882	0	1	1	0
1250	1	0	5	0	24	6882	0	1	1	0
1251	1	0	6	0	26	7708	0	1	1	0
1252	1	0	7	0	24	6882	0	1	1	0
1253	1	0	8	0	28	9422	0	1	1	0
1254	1	0	9	0	28	9422	0	1	1	0
1255	1	0	10	0	24	6882	0	1	1	0
1256	1	0	11	0	26	7708	0	1	1	0
1257	1	0	12	0	28	9422	0	1	1	0
1258	1	0	13	0	28	9422	0	1	1	0
1259	1	0	14	0	24	6882	0	1	1	0
1274	1	0	2	0	28	9422	0	1	1	0
1275	1	0	3	0	28	9422	0	1	1	0
