% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	ccId
1725	1	0	5	0	26	7708	0	1	0
1726	1	0	9	0	26	7708	0	1	0
1727	1	0	9	0	26	7708	0	1	0
1728	1	0	9	0	26	7708	0	1	0
1730	1	0	9	0	26	7708	0	1	0
1737	1	0	11	0	26	3822	0	1	0
1737	1	0	9	0	26	3822	0	1	0
1740	1	0	8	0	26	7708	0	1	0
1741	1	0	12	0	26	3822	0	1	0
1741	1	0	3	0	24	3422	0	1	0
1742	1	0	15	0	26	7708	0	1	0
1743	1	0	1	0	26	3822	0	1	0
1743	1	0	20	0	28	4587	0	1	0
1744	1	0	5	0	26	7708	0	1	0
1746	1	0	8	0	26	7708	0	1	0
1747	1	0	12	0	26	3822	0	1	0
1747	1	0	9	0	26	3822	0	1	0
1748	1	0	15	0	26	3822	0	1	0
1748	1	0	3	0	24	3422	0	1	0
1749	1	0	20	0	28	9422	0	1	0
1750	1	0	5	0	26	3822	0	1	0
1750	1	0	9	0	26	3822	0	1	0
1755	1	0	3	0	24	6882	0	1	0
1757	1	0	3	0	24	6882	0	1	0
1762	1	0	5	0	26	7708	0	1	0
1763	1	0	11	0	26	7708	0	1	0
1764	1	0	9	0	26	3822	0	1	0
1764	1	0	8	0	26	3822	0	1	0
1765	1	0	12	0	26	7708	0	1	0
1766	1	0	15	0	26	7708	0	1	0
1768	1	0	3	0	24	3422	0	1	0
1768	1	0	9	0	26	3822	0	1	0
1769	1	0	20	0	28	9422	0	1	0
1775	1	0	20	0	28	9422	0	1	0
1778	1	0	3	0	24	3422	0	1	0
1778	1	0	9	0	26	3822	0	1	0
1781	1	0	14	0	24	6882	0	1	0
1782	1	0	3	0	24	6882	0	1	0
1784	1	0	14	0	24	6882	0	1	0
1785	1	0	9	0	26	7708	0	1	0
1786	1	0	15	0	26	7708	0	1	0
1787	1	0	20	0	28	9422	0	1	0
1788	1	0	5	0	26	7708	0	1	0
1789	1	0	11	0	26	7708	0	1	0
1790	1	0	8	0	26	7708	0	1	0
1791	1	0	12	0	26	3822	0	1	0
1791	1	0	9	0	26	3822	0	1	0
1792	1	0	15	0	26	7708	0	1	0
1794	1	0	20	0	28	9422	0	1	0
1795	1	0	5	0	26	7708	0	1	0
1796	1	0	11	0	26	3822	0	1	0
1796	1	0	3	0	24	3422	0	1	0
1797	1	0	8	0	26	7708	0	1	0
1798	1	0	12	0	26	7708	0	1	0
1801	1	0	9	0	26	7708	0	1	0
1805	1	0	9	0	26	7708	0	1	0
1806	1	0	3	0	24	6882	0	1	0
1808	1	0	15	0	26	7708	0	1	0
1809	1	0	3	0	24	3422	0	1	0
1809	1	0	20	0	28	4587	0	1	0
1810	1	0	5	0	26	7708	0	1	0
1811	1	0	1	0	26	7708	0	1	0
1812	1	0	11	0	26	7708	0	1	0
1813	1	0	8	0	26	7708	0	1	0
1814	1	0	12	0	26	7708	0	1	0
1819	1	0	9	0	26	7708	0	1	0
1823	1	0	3	0	24	6882	0	1	0
1827	1	0	20	0	28	9422	0	1	0
1828	1	0	5	0	26	7708	0	1	0
1829	1	0	9	0	26	7708	0	1	0
1832	1	0	9	0	26	7708	0	1	0
1833	1	0	3	0	24	6882	0	1	0
1834	1	0	15	0	26	7708	0	1	0
1837	1	0	11	0	26	3822	0	1	0
1837	1	0	3	0	24	3422	0	1	0
1839	1	0	8	0	26	7708	0	1	0
1840	1	0	12	0	26	7708	0	1	0
1842	1	0	9	0	26	7708	0	1	0
1846	1	0	9	0	26	3822	0	1	0
1846	1	0	8	0	26	3822	0	1	0
1847	1	0	12	0	26	3822	0	1	0
1847	1	0	9	0	26	3822	0	1	0
1848	1	0	1	0	26	7708	0	1	0
1850	1	0	3	0	24	3422	0	1	0
1850	1	0	20	0	28	4587	0	1	0
1851	1	0	5	0	26	7708	0	1	0
1855	1	0	15	0	26	7708	0	1	0
1856	1	0	20	0	28	4587	0	1	0
1856	1	0	9	0	26	3822	0	1	0
1857	1	0	5	0	26	3822	0	1	0
1857	1	0	9	0	26	3822	0	1	0
1858	1	0	11	0	26	7708	0	1	0
1860	1	0	9	0	26	7708	0	1	0
1861	1	0	3	0	24	6882	0	1	0
1862	1	0	12	0	26	7708	0	1	0
1864	1	0	3	0	24	6882	0	1	0
1867	1	0	8	0	26	7708	0	1	0
1868	1	0	12	0	26	7708	0	1	0
1870	1	0	20	0	28	9422	0	1	0
1872	1	0	5	0	26	7708	0	1	0
1873	1	0	9	0	26	7708	0	1	0
1874	1	0	8	0	26	7708	0	1	0
1877	1	0	4	0	26	7708	0	1	0
1878	1	0	15	0	26	3822	0	1	0
1878	1	0	3	0	24	3422	0	1	0
1879	1	0	1	0	26	3822	0	1	0
1879	1	0	14	0	24	3422	0	1	0
1882	1	0	11	0	26	7708	0	1	0
1884	1	0	12	0	26	7708	0	1	0
1885	1	0	15	0	26	7708	0	1	0
1887	1	0	9	0	26	7708	0	1	0
1889	1	0	11	0	26	7708	0	1	0
1890	1	0	8	0	26	7708	0	1	0
1891	1	0	12	0	26	3822	0	1	0
1891	1	0	3	0	24	3422	0	1	0
1895	1	0	9	0	26	7708	0	1	0
1896	1	0	20	0	28	9422	0	1	0
1897	1	0	5	0	26	3822	0	1	0
1897	1	0	9	0	26	3822	0	1	0
1898	1	0	3	0	24	6882	0	1	0
1899	1	0	4	0	26	7708	0	1	0
1901	1	0	14	0	24	3422	0	1	0
1901	1	0	9	0	26	3822	0	1	0
1903	1	0	12	0	26	7708	0	1	0
1904	1	0	15	0	26	7708	0	1	0
1905	1	0	3	0	24	6882	0	1	0
1908	1	0	11	0	26	7708	0	1	0
1914	1	0	9	0	26	7708	0	1	0
1915	1	0	3	0	24	6882	0	1	0
1916	1	0	1	0	26	7708	0	1	0
1917	1	0	5	0	26	7708	0	1	0
1919	1	0	3	0	24	3422	0	1	0
1919	1	0	8	0	26	3822	0	1	0
1921	1	0	12	0	26	7708	0	1	0
1922	1	0	15	0	26	7708	0	1	0
1923	1	0	20	0	28	9422	0	1	0
1927	1	0	11	0	26	7708	0	1	0
1928	1	0	9	0	26	7708	0	1	0
1932	1	0	3	0	24	6882	0	1	0
1933	1	0	9	0	26	7708	0	1	0
